epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4072.22,1.39269,0.90331,1.2828,0.78319,0.65336,0.759,0.4676,1.35572,0.83669,1.22069,0.000235404,0.000235404,0.000235404
43,4167.09,1.37985,0.88926,1.27547,0.78884,0.64985,0.75932,0.46854,1.35157,0.8344,1.21839,0.000214046,0.000214046,0.000214046
44,4262.45,1.37399,0.89024,1.27328,0.78292,0.65894,0.76246,0.46889,1.35263,0.83001,1.21773,0.000193486,0.000193486,0.000193486
45,4358.27,1.37046,0.88579,1.26748,0.78726,0.65215,0.76036,0.46768,1.35416,0.83308,1.21757,0.00017378,0.00017378,0.00017378
46,4450.67,1.30105,0.82221,1.24375,0.78714,0.65024,0.76007,0.46769,1.3545,0.83541,1.21722,0.000154982,0.000154982,0.000154982
47,4541.67,1.29013,0.81539,1.239,0.78694,0.64643,0.75632,0.46743,1.34981,0.8375,1.21968,0.000137143,0.000137143,0.000137143
48,4632.66,1.28592,0.81154,1.23362,0.78553,0.65161,0.75987,0.46771,1.3516,0.83431,1.2183,0.000120313,0.000120313,0.000120313
49,4724.01,1.27985,0.80762,1.23192,0.78215,0.65481,0.76142,0.46729,1.35435,0.82881,1.21892,0.000104537,0.000104537,0.000104537
50,4813.94,1.27746,0.80573,1.23109,0.79114,0.64952,0.76189,0.47037,1.34362,0.82702,1.21358,8.98581e-05,8.98581e-05,8.98581e-05
51,4905.64,1.27339,0.80321,1.22905,0.78428,0.65225,0.76062,0.47027,1.34464,0.82667,1.21232,7.63174e-05,7.63174e-05,7.63174e-05
52,4998.13,1.26771,0.79668,1.22401,0.78873,0.65245,0.7609,0.46956,1.34866,0.82574,1.21515,6.39518e-05,6.39518e-05,6.39518e-05
53,5089.99,1.26617,0.79466,1.22471,0.78841,0.65165,0.76017,0.46872,1.34948,0.82593,1.21644,5.2795e-05,5.2795e-05,5.2795e-05
54,5181.03,1.26602,0.79535,1.22547,0.7896,0.65112,0.75999,0.47049,1.34435,0.82558,1.21362,4.28777e-05,4.28777e-05,4.28777e-05
55,5272.48,1.26073,0.79186,1.22203,0.78731,0.65428,0.76124,0.47075,1.34427,0.82315,1.2128,3.4227e-05,3.4227e-05,3.4227e-05
56,5369.26,1.25828,0.79026,1.21997,0.78843,0.6534,0.76077,0.46976,1.34747,0.82383,1.21322,2.68667e-05,2.68667e-05,2.68667e-05
57,5462.87,1.25977,0.78835,1.22013,0.78673,0.65327,0.76084,0.47049,1.34484,0.82269,1.21264,2.08169e-05,2.08169e-05,2.08169e-05
58,5557.08,1.25854,0.78917,1.2188,0.78715,0.65298,0.76104,0.47025,1.34534,0.82262,1.21294,1.60943e-05,1.60943e-05,1.60943e-05
59,5650.53,1.2561,0.78597,1.22017,0.78859,0.65272,0.76146,0.47065,1.34423,0.82168,1.21215,1.27117e-05,1.27117e-05,1.27117e-05
60,5744.38,1.25724,0.7879,1.21876,0.7864,0.65305,0.76097,0.47081,1.34455,0.82224,1.21164,1.06784e-05,1.06784e-05,1.06784e-05
